Almonds-5,35,dryfruits
Pista-5,20,dryfruits
Dates-2,40,dryfruits
Walnuts-4,50,dryfruits
Cashewnuts-4,40,dryfruits
Raisins-7,20,dryfruits
Fig-2,50,dryfruits
pumpkin seeds-1/2tsp,20,seeds
flaxseeds-1/2tsp,20,seeds
Idly(4)+ chutney,250,breakfast
Dosa-2,280,breakfast
Upma-1cup,250,breakfast
Chapati-3,280,breakfast
Tamarind Rice-1cup,250,breakfast
Uthappam-2,200,breakfast
Ragi dosa-3,250,breakfast
Oat meal-1cup,150,breakfast
Sandwich-4slices,250,breakfast
Dhokla-3pcs,250,breakfast
Wheat Dosa-4,200,breakfast
Idiyappam-3,230,breakfast
Appams-3,280,breakfast
Vada-3,280,breakfast
Paratha-2,260,breakfast
Kichidi,300,breakfast
Idli Sambar-2,280,breakfast
Rava Dosa-2,240,breakfast
Set dosa-2,240,breakfast
Pesarattu-2,300,breakfast
Masala Dosa-2,300,breakfast
Onion Dosa-2,300,breakfast
Boiled Egg-1,78,Egg
 Egg Omlette,90,Egg
Apple Juice,125,snack1
Carrot Juice,80,snack1
Orange Juice,120,snack1
Pomegranate Juice,130,snack1
Mixed Berry Smoothie,180,snack1
Watermelon Juice,80,snack1
Cucumber and Mint Infused Juice,55,snack1
Spinach and kale juice,60,snack1
Rice + bhindi fry+ sambar,300,lunch
Rice + aloo fry+ sambar,340,lunch
Rice + jerkin fry+ rasam,300,lunch
Rice + palakdal +any fry,350,lunch
 Zeera Rice + aloo kurma,290,lunch
 brown Rice +dal+veg curry,320,lunch
Tomato rice+gongura curry,350,lunch
sambar bath+ any fry,430,lunch
vegetable rice+kurma,480,lunch
Rice+Chicken Curry+rasam,320,lunch
brown rice+drumstick curry,300,lunch
Rice+cabbage fry+dal+pickle,280,lunch
Curd Rice-200g,260,curd
Poha,150,snack2
Fruit Chat,120,snack2
Sprouts Bhel,120,snack2
Chana Chat,140,snack2
Sweet Potato Chips,140,snack2
Masala Sweet Corn,90,snack2
Payasam,200,snack2
Bread Cutlet,100,snack2
Roasted Peanuts,150,snack2
Carrot Halwa,200,snack2
Apple & Dryfruit Pancake,200,snack2
Dal Kichidi,300,Dinner
Paratha and raita,180,Dinner
Roti +salad,180,Dinner
green paratha+raita,200,Dinner
stuffed roti + sherva,220,Dinner
Rice+ green leaf curry,280,Dinner
Milk,110,milk
